scenario_id,TOTAL_POINTS_TO_GENERATE_scenario,H3_RESOLUTION_scenario,K_RING_SEPARATION_scenario,LAMBDA_TRUE_scenario,SIGMA_SQ_EPS_TRUE_scenario,K_NEIGHBORS_FOR_W_scenario,PSI_TRUE_scenario,SIGMA_SQ_TRUE_scenario,TARGET_Q_PAIRS_scenario,MIN_OBS_PER_H3_scenario,DATA_TYPE_scenario,MAX_ITERATIONS_H3_SELECT_scenario,N_SIMULATIONS_per_scenario,K_FOR_GM_WEIGHTS_scenario,RUN_GM_MODEL_scenario,N_Valid_Runs_PW,N_Converged_PW,Mean_Time_PW,Mean_Beta_Slope_Hat_PW,Median_Beta_Slope_Hat_PW,SD_Beta_Slope_Hat_PW,Bias_Beta_Slope_PW,MSE_Beta_Slope_PW,Mean_SigmaSq_Hat_PW,Median_SigmaSq_Hat_PW,SD_SigmaSq_Hat_PW,Bias_SigmaSq_PW,MSE_SigmaSq_PW,Mean_Psi_Hat_PW,Median_Psi_Hat_PW,SD_Psi_Hat_PW,Bias_Psi_PW,MSE_Psi_PW,Avg_Q_Pairs_Used_PW,Avg_H3_Selected_Count,ConvergenceRate_PW,Avg_Iterations_To_Converge_PW,N_Valid_Runs_GM,N_Converged_GM,Mean_Time_GM,Mean_Beta_Slope_Hat_GM,Median_Beta_Slope_Hat_GM,SD_Beta_Slope_Hat_GM,Bias_Beta_Slope_GM,MSE_Beta_Slope_GM,Mean_Lambda_Hat_GM,Median_Lambda_Hat_GM,SD_Lambda_Hat_GM,Bias_Lambda_GM,MSE_Lambda_GM,Mean_SigmaSq_Hat_GM,Median_SigmaSq_Hat_GM,SD_SigmaSq_Hat_GM,Bias_SigmaSq_GM,MSE_SigmaSq_GM
1,2000,7,1,0.3,1,6,0.6,1,250,2,uniform,200,2,6,TRUE,2,2,0.02349245548248291,1.5162401483877581,1.5162401483877581,0.019893689287500013,0.016240148387758113,4.6162185639019883e-4,1.0835301914109958,1.0835301914109958,0.03929376705202124,0.08353019141099582,0.007749292941726856,0.2172390541458194,0.2172390541458194,0.07584011680436023,-0.3827609458541806,0.14938180332963646,200,200,1,6,2,2,0.3436164855957031,1.5195669574660764,1.5195669574660764,0.01230668892187243,0.019566957466076396,4.585931205891116e-4,0.2990907687614122,0.2990907687614122,0.05544553872650458,-9.09231238587771e-4,0.0015379305837813833,1.0133325008157816,1.0133325008157816,0.02414047260528382,0.01333250081578169,4.691367868060487e-4
2,2000,7,1,0.7,1,6,0.6,1,250,2,uniform,200,2,6,TRUE,2,2,4.309415817260742e-4,1.5062076301976464,1.5062076301976464,0.07451214866550694,0.006207630197646363,0.002814564822046035,1.6908258345911378,1.6908258345911378,0.011692507043247365,0.6908258345911378,0.47730869109902024,0.5324672847743868,0.5324672847743868,0.07083330304822553,-0.06753271522561319,0.007069346036104646,200,200,1,18,2,2,0.28433799743652344,1.5076150070317058,1.5076150070317058,0.017027201140435426,0.007615007031705923,2.029511214313534e-4,0.704948355228555,0.704948355228555,0.017235839824614296,0.004948355228555079,1.7302330669784847e-4,1.0714502709218805,1.0714502709218805,0.009247311328860109,0.07145027092188039,0.005147897598216539
3,2000,7,1,0.3,1,6,0.6,1,250,2,clustered,200,2,6,TRUE,2,2,2.2852420806884766e-4,1.5632379485657322,1.5632379485657322,0.20352543511502336,0.06323794856573206,0.02471033950818196,1.0064244525731385,1.0064244525731385,0.050990797478869226,0.006424452573138617,0.0013413043046300356,-0.0442296260563124,-0.0442296260563124,0.06957887964273518,-0.6442296260563124,0.4174524213348252,200,200,1,4.5,2,2,0.26497089862823486,1.5070918227488104,1.5070918227488104,0.018491304236093936,0.0070918227488104835,2.212581160764387e-4,0.27847058381846346,0.27847058381846346,0.003958445682577869,-0.02152941618153653,4.713504072287667e-4,0.9803711009181678,0.9803711009181678,0.023326823485379535,-0.019628899081832185,6.573640261237795e-4
4,2000,7,1,0.7,1,6,0.6,1,250,2,clustered,200,2,6,TRUE,2,2,3.279447555541992e-4,1.5259563160512446,1.5259563160512446,0.018777905282878368,0.025956316051244488,8.500352063584679e-4,1.5410441963731025,1.5410441963731025,0.0441027981562868,0.5410441963731024,0.2937013508316233,0.42769886053658673,0.42769886053658673,0.09468813001771892,-0.17230113946341324,0.0341706036435168,200,200,1,11.5,2,2,0.32505691051483154,1.5277166300366103,1.5277166300366103,0.050652256577754996,0.0277166300366104,0.002051037128795696,0.7053386478413091,0.7053386478413091,0.001651563823414864,0.005338647841309052,2.9864992304920163e-5,0.9928235609311933,0.9928235609311933,0.011822473295948882,-0.0071764390688067725,1.2138671512500841e-4
