scenario_id,TOTAL_POINTS_TO_GENERATE_scenario,K_MAX_TAYLOR_DGP_scenario,H3_RESOLUTION_scenario,K_RING_SEPARATION_scenario,LAMBDA_TRUE_scenario,SIGMA_SQ_EPS_TRUE_scenario,K_NEIGHBORS_FOR_W_scenario,TARGET_Q_PAIRS_scenario,MIN_OBS_PER_H3_scenario,DATA_TYPE_scenario,MAX_ITERATIONS_H3_SELECT_scenario,N_SIMULATIONS_per_scenario,K_FOR_GM_WEIGHTS_scenario,RUN_GM_MODEL_scenario,N_Valid_Runs_PW,N_Converged_PW,Mean_Time_PW,Mean_Beta_Slope_Hat_PW,Median_Beta_Slope_Hat_PW,SD_Beta_Slope_Hat_PW,Bias_Beta_Slope_PW,MSE_Beta_Slope_PW,Mean_SigmaSq_Hat_PW,Median_SigmaSq_Hat_PW,SD_SigmaSq_Hat_PW,Bias_SigmaSq_PW,MSE_SigmaSq_PW,Mean_Psi_Hat_PW,Median_Psi_Hat_PW,SD_Psi_Hat_PW,Bias_Psi_PW,MSE_Psi_PW,Avg_Q_Pairs_Used_PW,Avg_H3_Selected_Count,ConvergenceRate_PW,Avg_Iterations_To_Converge_PW,N_Valid_Runs_GM,N_Converged_GM,Mean_Time_GM,Mean_Beta_Slope_Hat_GM,Median_Beta_Slope_Hat_GM,SD_Beta_Slope_Hat_GM,Bias_Beta_Slope_GM,MSE_Beta_Slope_GM,Mean_Lambda_Hat_GM,Median_Lambda_Hat_GM,SD_Lambda_Hat_GM,Bias_Lambda_GM,MSE_Lambda_GM,Mean_SigmaSq_Hat_GM,Median_SigmaSq_Hat_GM,SD_SigmaSq_Hat_GM,Bias_SigmaSq_GM,MSE_SigmaSq_GM,RE_Beta_Slope_PW_vs_GM,RE_SpatialCorr_PW_vs_GM,RE_SigmaSq_PW_vs_GM
11,10000,30,7,1,0.7,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,6.083593368530273e-4,1.5026023077183017,1.5035150608346175,0.014445189155715037,0.0026023077183017847,2.150181682256313e-4,0.2061676154615272,0.20582087602386834,0.011735582339821235,0.1061676154615272,0.011409011017855722,0.5074438736725415,0.5112836056733253,0.04360296235429436,-0.19255612632745844,0.038975277675654015,400,400,1,14.234,500,500,1.8161773681640497e-4,1.50411387719457,1.50411387719457,0,0.004113877194569904,2.6028531728315264e-5,0.727030084331512,0.727030084331512,0,0.027030084331511994,0.001030665990539582,0.10073115334654789,0.10073115334654789,0,7.311533465478859e-4,5.345852161681729e-7,0.12105270890877455,0.02644409615543008,4.6856402832070015e-5
12,25000,30,7,1,0.7,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,3.201198577880859e-4,1.5064869322088366,1.5061169666977356,0.01516384742228524,0.006486932208836543,2.715626735910947e-4,0.19301822252346887,0.19229810286589247,0.010910336833483796,0.09301822252346885,0.008771187100346,0.3269827509424539,0.32566016952517984,0.04653704727488392,-0.3730172490575461,0.14130323346998602,400,400,1,7.56,500,500,4.336481094360383e-4,1.5053102491065156,1.5053102491065156,0,0.005310249106515563,3.190337466606853e-5,0.7069124090647303,0.7069124090647303,0,0.0069124090647303404,1.788568517541569e-4,0.1018839086983875,0.1018839086983875,0,0.0018839086983874903,3.549111983860048e-6,0.11748070618168611,0.001265766163745627,4.046330266652327e-4
13,5000,30,7,1,-0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.8844785690307573e-4,1.493309662070953,1.4927917057061302,0.014508012889344293,-0.0066903379290469914,2.5482209472623026e-4,0.10964987307262838,0.10935152420156959,0.006018922465354493,0.009649873072628382,1.292750231064994e-4,-0.062327380354197125,-0.06262073270060571,0.05168335739279937,0.23767261964580286,0.05915410122182752,400,400,1,4.332,500,500,7.714986801147525e-5,1.5034602247874913,1.5034602247874913,0,0.003460224787491306,3.177628959142727e-5,-0.30884856425002505,-0.30884856425002505,0,-0.00884856425002506,0.003762116574953159,0.09939042632628474,0.09939042632628474,0,-6.095736737152663e-4,3.715800636867259e-7,0.12469989945560384,0.06359857553824112,0.002874337631180392
14,10000,30,7,1,-0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.474989891052246e-4,1.4933699960744744,1.4933186184097431,0.012377621534095296,-0.006630003925525669,1.9685605586410265e-4,0.101999105935196,0.1019380290001666,0.005141060949372478,0.0019991059351959894,3.0374071209928146e-5,-0.08351765181142443,-0.08387666703570973,0.053911369513454675,0.21648234818857556,0.049765229968530285,400,400,1,4.386,500,500,1.7788791656494222e-4,1.4951460195182302,1.4951460195182302,0,-0.004853980481769771,3.337188737717482e-5,-0.2737721069650029,-0.2737721069650029,0,0.026227893034997063,0.0024268592728162383,0.1005706323427768,0.1005706323427768,0,5.706323427767945e-4,3.2562127062293315e-7,0.16952431171440682,0.04876616212465803,0.010720369632784022
15,25000,30,7,1,-0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.461185455322266e-4,1.5018993494194592,1.5017485333407659,0.011872554559814678,0.0018993494194591517,1.4428316488942456e-4,0.10543574959267848,0.10523990093143618,0.005199925392566325,0.005435749592678472,5.653251927438372e-5,-0.05680078337822597,-0.057114408774410735,0.0491701382680227,0.24319921662177402,0.061558726057746434,400,400,1,4.17,500,500,5.217957496643112e-4,1.5020508526164547,1.5020508526164547,0,0.002050852616454657,8.0843683134737e-6,-0.31258034850598526,-0.31258034850598526,0,-0.012580348505985273,9.042507099300805e-4,0.10074782008101658,0.10074782008101658,0,7.478200810165786e-4,5.592348735716422e-7,0.05603126546100774,0.014689236893593761,0.009892268746371707
16,5000,30,7,1,0,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.2851943969726568e-4,1.5066476094822194,1.506655958911427,0.01398735047019323,0.006647609482219504,2.3944539305775753e-4,0.10392631165919976,0.10356443759647999,0.006074625016918145,0.0039263116591997495,5.224319020314329e-5,-0.01631196549238877,-0.013840676582040336,0.05078141691182689,-0.01631196549238877,0.0028396750171905127,400,400,1,3.972,500,500,7.739782333373968e-5,1.5051721201622545,1.5051721201622545,0,0.005172120162254545,4.7688971297404426e-5,-0.025790108362004044,-0.025790108362004044,0,-0.025790108362004044,0.0037693128307700633,0.0999421131298294,0.0999421131298294,0,-5.788687017060923e-5,3.3508897381489686e-9,0.19916428830978256,1.3273747199773958,6.414022047886649e-5
17,10000,30,7,1,0,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,3.213219642639161e-4,1.4983078919903343,1.4986885660182074,0.015338575355259938,-0.0016921080096657303,2.3766457965750438e-4,0.1035571615063627,0.10322052064637682,0.008496481688671287,0.0035571615063626915,8.469921866610308e-5,-0.024835073677889338,-0.02375764548663034,0.07236914700117948,-0.024835073677889338,0.005843599735389165,400,400,1,4.138,500,500,1.5942811965942335e-4,1.5026122542482003,1.5026122542482003,0,0.0026122542482003297,1.6982857813682474e-5,0.021891942812388838,0.021891942812388838,0,0.021891942812388838,0.0019158270785821383,0.0998172719390876,0.0998172719390876,0,-1.8272806091240712e-4,3.338954424480837e-8,0.07145725222562095,0.32785049718237597,3.9421313172244147e-4
18,25000,30,7,1,0,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.715487480163576e-4,1.500114611835226,1.5001647390338508,0.012904738207556858,1.1461183522601149e-4,1.662123395419405e-4,0.10175522704115429,0.10136148127108853,0.005335286417114839,0.001755227041154291,3.148917255634406e-5,-0.02282189316898021,-0.019998991116538703,0.05262183029430507,-0.02282189316898021,0.0032843577172919436,400,400,1,4.108,500,500,4.2627000808716134e-4,1.5029360562944976,1.5029360562944976,0,0.0029360562944975577,1.2683303784562613e-5,-0.012837170277390406,-0.012837170277390406,0,-0.012837170277390406,7.560844010545073e-4,0.10111609056285657,0.10111609056285657,0,0.001116090562856567,1.2456581444974887e-6,0.07630783502305631,0.23020768933717814,0.03955830031000698
19,5000,30,7,1,0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.1504926681518554e-4,1.5037637404749538,1.5034482754412077,0.015134113569379756,0.003763740474953686,2.427490531066273e-4,0.09944065407051879,0.09922507078562,0.006925183709536984,-5.59345929481222e-4,4.817512094084193e-5,0.09022186476741957,0.08870870045881592,0.053174838590614865,-0.2097781352325804,0.046828774353878465,400,400,1,4.074,500,500,8.17379951477046e-5,1.499437735449478,1.499437735449478,0,-5.622645505221069e-4,2.0532942852990858e-5,0.2974701018535595,0.2974701018535595,0,-0.0025298981464405013,0.0021012849216789247,0.10178805632453901,0.10178805632453901,0,0.001788056324539003,3.1971454197239285e-6,0.0845850584800089,0.04487166172233785,0.06636507303531128
20,10000,30,7,1,0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,3.334970474243163e-4,1.5002140011541263,1.5000454563334515,0.012389630661213014,2.1400115412619435e-4,1.5324173851939446e-4,0.1112607394283166,0.11127375012881066,0.006327283422337909,0.011260739428316595,1.6675869894802292e-4,0.09517759362802736,0.0911649996984612,0.05107910054598192,-0.20482240637197263,0.044556074515566854,400,400,1,4.112,500,500,1.6001224517822067e-4,1.497140282967166,1.497140282967166,0,-0.0028597170328339416,1.8552460130438045e-5,0.2889547352754645,0.2889547352754645,0,-0.011045264724535486,0.0011725291025370726,0.10393296040538119,0.10393296040538119,0,0.003932960405381186,1.5468177550296143e-5,0.12106662525294976,0.026315808007893925,0.09275784500523973
21,25000,30,7,1,0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,3.540344238281238e-4,1.5042745082348867,1.5038656570366258,0.013357178363049902,0.004274508234886722,1.9632880604479846e-4,0.10962609669061735,0.10938635262237303,0.006570600544379616,0.009626096690617337,1.357481834278882e-4,0.07757547592037303,0.07857428885794673,0.05325231182972012,-0.22242452407962696,0.05230280600982788,400,400,1,4.008,500,500,5.583181381225523e-4,1.500292820797172,1.500292820797172,0,2.928207971719665e-4,4.004077456761645e-6,0.3019448207554379,0.3019448207554379,0,0.0019448207554378927,4.010557038286736e-4,0.1008960824184073,0.1008960824184073,0,8.960824184073013e-4,8.029637005786778e-7,0.020394752748855365,0.007667957695296765,0.00591509720647736
22,5000,30,7,1,0.7,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,4.2263174057006824e-4,1.5072785255494483,1.5077926210998545,0.01583679007996989,0.007278525549448317,3.032792463709307e-4,0.20764303882639723,0.20735546828189105,0.015370616417666155,0.10764303882639722,0.01182280714514217,0.49662540326276444,0.49748203236982014,0.050225954244178084,-0.2033745967372355,0.043878827784811954,400,400,1,13.41,500,500,8.555221557617258e-5,1.5025121292627273,1.5025121292627273,0,0.0025121292627272584,2.4780788985361212e-5,0.7210360378724322,0.7210360378724322,0,0.021036037872432245,0.0010435734692435072,0.10325754599431468,0.10325754599431468,0,0.003257545994314673,1.061160590507557e-5,0.08170947825111863,0.023783075390284826,8.975538359716655e-4
23,10000,30,7,1,0.7,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,4.633994102478029e-4,1.4959061650614147,1.4951912753414864,0.015417948531446462,-0.00409383493858525,2.539971951488766e-4,0.21136752481775745,0.21094544342106042,0.012209123938423086,0.11136752481775744,0.012551490165962909,0.46643581765851605,0.468857178898851,0.043520124789219676,-0.2335641823414839,0.05644244053199186,400,400,1,11.804,500,500,1.4977407455444382e-4,1.4995733933420758,1.4995733933420758,0,-4.2660665792415564e-4,9.432877063993135e-6,0.7119417229192027,0.7119417229192027,0,0.011941722919202702,4.634006992837081e-4,0.1026355359977066,0.1026355359977066,0,0.0026355359977065923,6.946049995207283e-6,0.03713772137705772,0.008210146388355589,5.534044088281692e-4
24,25000,30,7,1,0.7,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,4.02134418487549e-4,1.5023788891410157,1.5026516311660143,0.014898404906374665,0.0023788891410155945,2.27177657362022e-4,0.19953837185614867,0.199684872106371,0.011941587112565438,0.09953837185614867,0.010050203771534384,0.4039611553550844,0.40521855827259634,0.04609537340576072,-0.29603884464491553,0.0897595314212141,400,400,1,9.544,500,500,4.247179031372112e-4,1.5030745240107957,1.5030745240107957,0,0.003074524010795665,1.3101637876901792e-5,0.708426350109458,0.708426350109458,0,0.008426350109458025,2.014658590230404e-4,0.10149690586252176,0.10149690586252176,0,0.0014969058625217552,2.2407271612519997e-6,0.05767133101484316,0.0022445065814528666,2.2295340593973882e-4
